q0;q1;q2;q3;q10;q12b_a;q12b_b;q12b_c;q13a;q13b;q14a;q14b;q14c;q14d;q14e;q14f;q14g;q14h;q14i;q14j;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8
Portugal;Feminino;25;Outra;Nao;0;1;1;0;1;5;5;3;4;2;2;3;2;1;1;4;5;2;5;2;4;2;4
Portugal;Feminino;20;Outra;Nao;0;1;0;;1;5;5;1;3;3;3;3;2;1;1;3;4;1;4;2;4;4;3
Portugal;Masculino;24;Outra;Sim;0;1;1;0;1;4;4;3;4;3;2;5;3;3;2;;;;;;;;
Portugal;Masculino;24;Estudante-trabalhador;Sim;1;0;1;0;0;3;5;4;5;2;2;4;2;2;1;1;2;2;3;2;4;2;5
Portugal;Masculino;22;Outra;Sim;0;0;0;1;0;3;4;2;3;3;3;3;2;2;1;2;3;3;4;4;4;2;4
Portugal;Feminino;25;Outra;Nao;0;1;0;;0;4;5;3;3;3;3;4;4;2;2;4;;2;4;3;4;2;4
Portugal;Masculino;23;Outra;Sim;1;0;0;1;1;2;4;4;5;5;5;5;3;4;4;1;4;1;4;3;3;4;2
Portugal;Masculino;20;Outra;Sim;1;1;0;1;0;3;4;5;5;5;2;1;2;4;2;4;3;3;5;1;4;2;2
Portugal;Feminino;22;Outra;Sim;1;0;0;0;0;5;2;3;4;2;4;4;5;3;4;4;3;2;4;2;3;3;4
Portugal;Masculino;23;Outra;Sim;0;1;0;1;;3;4;1;5;3;1;2;3;1;3;3;4;2;2;2;3;2;4
Portugal;Masculino;23;Outra;Sim;0;0;1;0;0;3;4;1;4;2;2;3;1;2;3;3;4;3;4;2;5;2;2
Portugal;Feminino;24;Outra;Sim;1;1;1;0;0;4;4;2;5;3;3;4;2;2;2;2;4;2;5;3;4;5;4
Portugal;Feminino;22;Outra;Sim;1;1;1;1;0;3;4;3;4;2;2;4;2;2;1;1;5;1;3;2;3;2;4
Portugal;Masculino;24;Outra;Nao;1;0;0;1;1;4;4;3;5;4;3;5;2;3;2;2;5;3;2;3;4;4;3
Portugal;Feminino;23;Outra;Nao;1;0;0;0;1;4;3;2;4;2;3;3;2;2;2;2;5;1;4;1;5;3;2
Portugal;Masculino;25;Outra;Sim;1;1;1;1;1;3;4;2;4;2;2;4;2;2;2;2;4;3;2;4;3;4;3
Portugal;Masculino;25;Outra;Sim;0;0;1;0;0;4;4;3;5;5;3;4;1;3;1;4;5;2;1;1;4;3;2
Portugal;Masculino;23;Outra;Nao;0;1;0;0;0;4;5;3;3;3;2;3;2;3;1;3;2;3;3;2;4;2;4
Portugal;Feminino;23;Outra;Nao;1;1;1;0;0;3;3;2;5;3;3;4;2;2;3;2;4;2;3;2;4;2;4
Portugal;Feminino;21;Outra;Nao;1;1;1;0;1;3;3;1;4;3;3;3;3;2;1;1;4;1;2;1;2;5;2
Portugal;Feminino;24;Outra;Sim;1;1;1;0;0;3;3;3;4;3;3;4;4;3;3;4;5;3;4;4;5;4;3
Portugal;Feminino;23;Outra;Sim;1;0;0;1;1;3;2;1;4;4;3;4;2;4;2;2;3;2;2;4;5;2;4
Portugal;Masculino;21;Outra;Sim;1;0;0;0;0;2;2;2;4;3;3;3;2;3;2;4;4;2;4;1;4;4;2
Portugal;Feminino;24;Outra;Sim;0;1;0;1;0;3;5;2;4;3;3;4;2;3;3;3;4;3;3;3;4;2;4
Portugal;Feminino;25;Outra;Nao;1;0;1;0;0;4;3;2;5;2;2;3;3;2;3;1;5;1;4;4;2;2;4
Portugal;Feminino;23;Outra;Nao;0;1;0;0;0;3;5;3;4;3;3;3;2;3;2;3;4;1;4;1;4;4;4
Portugal;Feminino;22;Outra;Sim;0;1;0;1;0;4;4;3;4;3;3;4;1;4;3;1;3;1;2;3;4;3;3
Portugal;Feminino;20;Outra;;1;0;1;0;1;4;5;3;4;3;3;3;3;2;2;2;4;2;4;1;4;2;4
Portugal;Feminino;23;Outra;Sim;1;0;0;0;1;4;4;4;4;4;3;4;3;2;1;3;3;2;4;3;4;4;4
Portugal;Masculino;25;Outra;Sim;1;0;1;1;0;3;4;3;4;4;2;4;1;3;1;2;3;4;2;1;3;2;4
Portugal;Feminino;24;Outra;Sim;1;1;0;1;1;3;5;2;5;3;3;5;3;3;3;2;4;1;2;4;4;4;4
Portugal;Feminino;24;Outra;Nao;0;1;0;0;1;3;4;2;4;3;3;4;3;4;4;3;3;3;4;3;4;4;5
Portugal;Masculino;23;Outra;Sim;0;0;1;1;1;3;3;3;3;2;1;5;3;2;3;3;2;2;3;3;4;2;2
Portugal;Feminino;19;Estudante-trabalhador;Nao;0;1;0;0;0;3;5;2;3;1;1;4;5;2;1;4;4;2;5;1;3;2;3
Portugal;Masculino;23;Outra;Sim;1;1;0;0;0;5;4;2;5;3;2;4;2;3;2;2;3;2;4;1;3;3;5
Portugal;Masculino;22;Outra;Sim;0;0;1;0;0;3;4;3;4;2;1;4;2;1;2;2;5;1;4;1;2;2;4
Portugal;Masculino;24;Outra;Sim;1;1;0;0;0;5;3;3;5;4;2;5;5;3;2;4;3;3;4;1;4;3;5
Portugal;Masculino;24;Outra;Sim;0;0;1;1;0;5;4;3;4;3;2;4;2;2;2;3;3;2;4;2;2;3;3
Portugal;Masculino;24;Outra;Nao;1;0;0;0;1;3;5;3;4;4;4;4;4;4;3;4;;2;4;2;3;3;4
Portugal;Feminino;24;Outra;Sim;1;1;0;;1;4;3;4;5;3;2;5;3;2;1;1;4;2;3;3;4;2;4
Portugal;Feminino;21;Outra;Nao;0;1;0;0;0;3;4;2;4;3;3;4;2;2;2;2;3;2;4;2;3;4;3
Portugal;Masculino;23;Outra;Nao;1;0;0;0;1;5;5;2;4;4;2;3;3;2;1;2;2;2;4;2;2;3;4
Portugal;Feminino;20;Outra;Sim;1;0;0;1;0;3;3;2;4;3;3;3;2;3;2;4;4;2;3;3;3;3;4
Portugal;Feminino;23;Outra;Nao;1;1;1;0;0;4;3;2;4;3;3;4;3;2;2;4;4;2;2;1;5;4;3
Portugal;Masculino;18;Outra;Sim;1;1;0;1;0;3;4;3;3;2;2;5;2;2;2;4;4;3;4;2;3;1;4
Portugal;Masculino;25;Outra;Nao;0;1;1;0;0;4;5;3;4;2;2;4;4;2;2;2;4;1;3;1;2;4;2
Portugal;Masculino;24;Outra;Sim;1;0;0;0;0;4;4;2;5;3;2;5;4;3;2;;;;;;;;
Portugal;Masculino;23;Outra;Nao;0;1;0;1;0;5;4;3;3;1;1;3;3;3;1;1;4;2;5;1;2;2;4
Portugal;Feminino;25;Outra;Nao;1;0;0;0;0;3;3;2;3;2;2;4;3;2;2;4;4;2;3;2;3;3;3
Portugal;Feminino;24;Estudante-trabalhador;Nao;0;0;1;0;0;4;5;4;3;3;3;3;3;2;2;4;4;1;4;2;4;2;5
Portugal;Masculino;21;Outra;Nao;0;1;0;1;0;4;4;4;3;2;2;3;3;3;2;4;3;2;4;3;3;3;2
Portugal;Feminino;25;Outra;Nao;1;1;0;0;1;3;4;2;3;5;3;3;2;2;2;4;4;2;2;3;2;2;2
Portugal;Masculino;25;Outra;Sim;1;1;0;1;0;3;3;1;4;3;1;4;2;4;3;2;4;2;2;3;3;2;3
Portugal;Feminino;21;Outra;Sim;1;1;0;1;1;4;4;3;4;3;2;4;3;2;2;4;2;2;2;3;4;2;3
Portugal;Feminino;20;Estudante-trabalhador;Sim;1;0;1;1;0;5;5;1;3;3;1;4;5;5;1;1;5;1;4;1;4;4;3
Portugal;Masculino;20;Outra;Nao;1;1;1;1;0;2;4;1;5;3;1;3;2;2;2;2;5;3;4;4;2;3;4
Portugal;Feminino;24;Outra;Nao;1;0;0;0;0;5;4;2;4;3;2;4;3;2;1;1;4;1;2;2;4;4;4
Portugal;Masculino;22;Outra;Sim;1;1;1;0;0;4;3;2;4;3;2;4;5;2;3;2;4;2;4;3;3;3;4
Portugal;Masculino;22;Estudante-trabalhador;Sim;1;1;0;1;1;5;5;3;5;4;4;5;3;3;3;2;5;1;3;1;3;3;4
Portugal;Feminino;23;Outra;Nao;0;1;0;0;1;4;2;2;3;1;1;3;2;1;1;1;5;1;3;2;3;3;2
Portugal;Masculino;25;Outra;Sim;1;1;1;1;0;4;3;3;5;3;4;4;4;4;5;4;3;2;2;4;5;2;5
Portugal;Feminino;25;Estudante-trabalhador;Sim;1;0;0;1;1;4;5;3;4;3;3;3;3;3;3;4;4;3;5;1;4;2;4
Portugal;Masculino;22;Outra;Sim;1;0;0;0;0;4;5;2;3;3;2;5;3;2;2;3;2;2;4;2;2;4;3
Portugal;Feminino;23;Outra;Nao;0;0;1;0;0;3;4;1;4;3;2;4;3;2;2;2;4;3;4;2;4;2;4
Portugal;Masculino;25;Outra;Sim;0;0;1;1;0;3;4;4;4;3;2;4;3;2;2;1;2;2;5;2;2;4;3
Portugal;Feminino;23;Outra;Sim;0;0;1;1;1;4;5;3;5;3;3;4;2;1;1;3;3;3;3;2;3;1;4
Portugal;Masculino;21;Outra;Sim;0;0;1;1;1;1;3;1;5;5;3;4;2;5;1;5;5;1;4;1;5;2;5
Portugal;Masculino;21;Outra;Nao;0;0;1;0;0;3;5;3;4;3;3;4;3;3;3;2;4;2;4;2;2;3;3
Portugal;Masculino;22;Outra;Sim;1;0;0;0;0;3;4;2;5;3;3;2;1;4;2;1;5;2;3;1;3;3;2
Portugal;Masculino;23;Outra;Sim;0;0;1;1;1;3;5;2;5;4;2;3;5;2;2;3;2;1;3;4;2;3;2
Portugal;Masculino;25;Outra;Sim;0;0;1;1;1;4;5;3;4;3;3;3;2;2;2;2;4;1;3;2;3;3;3
Portugal;Masculino;25;Outra;Nao;1;0;1;1;0;4;4;4;4;2;3;4;3;3;3;1;5;1;4;4;2;1;1
Portugal;Feminino;25;Outra;Sim;1;1;0;1;0;3;4;4;4;3;2;3;1;3;1;3;4;2;2;3;3;2;2
Portugal;Feminino;24;Outra;Sim;1;0;1;1;0;4;5;3;4;2;2;3;3;3;1;2;4;1;4;2;4;4;2
Portugal;Feminino;23;Outra;Sim;1;1;0;0;1;3;4;1;4;1;2;4;3;1;1;2;4;1;3;1;4;3;1
Portugal;Masculino;25;Outra;Nao;0;1;0;0;0;4;4;3;3;2;2;3;2;2;2;2;5;2;3;4;4;2;4
Portugal;Masculino;25;Outra;Nao;0;0;1;0;1;3;3;4;3;2;2;3;4;2;3;3;3;2;3;2;4;2;4
Portugal;Masculino;25;Outra;Sim;1;1;1;0;0;5;5;3;4;3;2;4;4;2;2;4;3;2;5;2;3;3;5
Portugal;Masculino;20;Outra;Nao;1;1;1;1;1;5;5;3;5;3;3;4;4;3;3;2;5;1;4;2;2;4;4
Portugal;Masculino;22;Outra;Nao;0;0;1;1;1;5;5;3;5;2;1;3;4;2;2;2;5;1;4;1;3;2;4
Portugal;Feminino;25;Outra;Sim;1;0;0;0;1;3;4;3;5;3;3;3;2;3;2;4;3;2;1;4;5;2;4
Portugal;Feminino;23;Outra;Sim;1;1;1;0;0;3;4;1;5;2;3;4;3;3;2;2;4;1;4;1;2;4;2
Portugal;Feminino;21;Outra;Nao;0;0;0;;1;2;3;1;4;4;2;4;2;3;2;2;4;4;5;2;4;3;4
Portugal;Masculino;23;Outra;Nao;1;0;1;0;0;3;5;2;4;2;1;3;4;1;4;4;4;4;5;2;3;4;2
Portugal;Feminino;23;Outra;Nao;0;1;0;0;0;4;3;1;5;2;2;4;3;1;2;3;4;2;4;3;2;4;4
Portugal;Masculino;24;Outra;Sim;1;1;0;1;1;3;4;3;4;4;3;4;4;4;3;2;3;2;3;2;4;2;4
Portugal;Masculino;25;Estudante-trabalhador;Nao;0;0;1;0;0;5;5;2;2;1;1;2;2;1;1;1;1;1;1;1;1;3;3
Portugal;Masculino;24;Outra;Sim;1;0;0;1;1;2;2;2;5;5;3;4;3;5;2;3;3;3;1;5;4;4;4
Portugal;Feminino;22;Outra;Sim;1;1;0;1;1;5;3;1;3;5;3;4;2;1;4;3;4;1;3;3;4;2;4
Portugal;Masculino;24;Outra;Sim;1;0;0;1;0;3;5;1;5;1;1;5;1;1;2;2;2;1;4;1;1;5;1
Portugal;Masculino;21;Estudante a tempo inteiro;Nao;1;1;0;0;1;3;4;2;4;3;4;3;2;3;2;2;4;;4;2;3;2;3
Portugal;Masculino;22;Outra;Sim;1;0;1;1;1;3;3;3;4;4;4;3;2;4;2;3;3;3;3;3;3;4;3
Portugal;Feminino;23;Estudante a tempo inteiro;Sim;0;1;0;0;1;3;4;5;5;3;2;5;3;3;3;2;5;1;4;1;3;2;4
Portugal;Feminino;22;Outra;Sim;1;0;0;0;1;3;5;2;5;5;3;3;3;2;2;3;3;2;5;1;4;4;4
Portugal;Masculino;20;Outra;Sim;1;0;1;1;0;4;5;2;5;3;2;4;3;3;1;5;3;2;3;3;4;2;5
Portugal;Masculino;24;Outra;Sim;0;1;0;0;0;4;4;3;3;2;1;4;4;3;2;2;4;1;3;3;3;4;3
Portugal;Masculino;23;Outra;Sim;0;0;1;0;0;1;5;1;5;3;2;5;1;2;2;1;1;1;2;3;3;2;1
Portugal;Masculino;25;Outra;Nao;1;1;0;0;1;4;4;2;4;2;3;4;2;2;1;4;4;2;5;2;3;2;4
Portugal;Masculino;23;Outra;Sim;1;0;0;1;0;2;4;1;5;3;2;5;3;5;3;3;5;1;4;2;2;1;5
Portugal;Masculino;21;Outra;Sim;1;0;1;1;0;4;5;2;5;4;3;4;3;5;3;4;4;4;3;2;4;2;4
Portugal;Feminino;24;Outra;Sim;1;0;0;0;0;4;3;3;4;2;2;3;5;2;3;1;5;2;2;4;4;2;4
Portugal;Feminino;25;Outra;Nao;1;1;0;0;0;4;5;3;3;3;2;3;3;2;2;1;4;2;3;2;3;2;3
Portugal;Feminino;21;Outra;Sim;1;0;0;0;0;4;3;1;3;3;3;3;3;2;2;1;4;2;4;3;4;3;3
Portugal;Feminino;21;Outra;Sim;1;0;1;1;1;4;3;3;4;4;3;4;3;3;3;2;3;1;4;2;3;4;2
Portugal;Feminino;23;Outra;Nao;1;0;1;0;1;3;5;4;4;3;4;5;4;2;2;2;5;2;4;2;3;2;5
Espanha;Masculino;20;Estudante a tempo inteiro;Sim;1;0;0;0;1;4;5;3;4;3;3;4;3;3;2;2;3;1;5;5;1;3;3
Espanha;Feminino;22;Estudante a tempo inteiro;Nao;0;0;1;0;1;3;4;1;3;2;2;3;2;2;2;2;3;1;4;4;4;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;0;1;0;1;3;4;2;3;2;3;3;2;2;2;4;2;2;4;4;3;4;3
Espanha;Feminino;24;Estudante a tempo inteiro;Nao;0;1;0;;1;4;5;3;4;3;3;4;3;2;3;3;4;1;4;3;4;3;3
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;1;1;1;1;5;5;5;4;2;2;4;4;3;2;4;4;2;4;3;4;2;4
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;1;0;1;1;1;4;4;2;3;3;3;3;3;2;3;2;3;3;4;3;4;4;2
Espanha;Feminino;23;Estudante a tempo inteiro;Nao;1;0;1;1;1;4;3;4;4;3;3;3;2;3;3;2;4;4;4;3;4;4;4
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;1;0;0;1;4;4;2;3;2;2;3;3;2;1;4;3;2;4;2;5;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;1;0;0;0;1;3;4;2;4;4;5;4;4;4;3;1;4;1;4;4;3;4;2
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;0;0;1;0;1;4;4;2;3;3;3;4;4;2;2;;;;;;;;
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;0;0;0;1;1;4;4;2;3;4;3;4;3;3;2;;;;;;;;
Espanha;Feminino;22;Estudante a tempo inteiro;Nao;1;0;0;0;1;4;5;3;3;2;1;3;2;1;1;4;4;1;2;2;3;3;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;1;1;0;1;3;3;3;5;3;3;3;3;2;2;4;4;2;3;2;3;2;2
Espanha;Feminino;24;Estudante a tempo inteiro;Nao;1;0;1;0;1;3;4;4;4;3;2;4;4;2;2;4;5;1;3;5;3;2;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;1;1;1;0;1;3;5;2;4;4;4;4;3;3;3;3;2;2;4;3;4;4;4
Espanha;Masculino;23;Estudante-trabalhador;Nao;1;0;0;0;1;3;5;3;4;2;1;3;3;2;3;5;5;1;3;2;3;4;5
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;0;1;0;1;1;3;5;2;5;3;2;4;2;4;2;4;4;1;4;3;3;4;3
Espanha;Feminino;22;Estudante a tempo inteiro;Sim;1;0;0;1;1;4;3;3;5;3;4;4;2;3;2;1;1;1;5;2;3;4;2
Espanha;Feminino;21;Estudante-trabalhador;Sim;1;0;1;1;1;3;2;3;4;4;4;5;2;2;2;2;4;3;2;3;4;2;2
Espanha;Masculino;21;Estudante a tempo inteiro;Nao;0;0;1;1;1;3;5;3;3;2;2;4;3;2;2;2;5;1;4;3;1;3;3
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;0;0;1;1;1;3;4;3;5;3;1;3;1;2;1;4;2;1;4;3;1;4;1
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;0;1;0;0;1;4;3;2;3;2;2;4;2;2;2;2;4;1;3;4;3;5;4
Espanha;Masculino;20;Estudante a tempo inteiro;Nao;0;0;1;0;1;4;3;3;3;4;4;4;4;4;3;3;3;4;3;3;3;2;4
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;0;0;1;1;1;3;3;3;4;4;4;4;2;3;3;4;5;1;3;3;2;1;3
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;0;0;1;0;1;3;4;1;3;2;2;3;2;2;2;2;2;2;4;4;2;3;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;0;0;1;1;1;3;4;3;4;2;2;4;1;3;5;4;1;1;2;2;1;5;1
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;1;0;0;1;0;5;5;4;4;3;3;3;2;3;3;;;;;;;;
Espanha;Feminino;22;Estudante a tempo inteiro;Sim;1;0;1;1;1;3;3;2;4;3;1;3;2;3;2;1;4;1;4;4;2;4;2
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;0;1;1;1;4;5;3;4;2;2;3;4;3;2;3;2;3;4;5;2;3;2
Espanha;Feminino;19;Estudante a tempo inteiro;Nao;0;0;1;1;1;4;5;2;3;3;4;5;5;4;3;2;1;1;2;3;3;3;3
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;1;0;0;1;1;3;4;4;5;3;3;5;3;3;2;4;4;1;3;3;4;4;2
Espanha;Feminino;19;Estudante a tempo inteiro;Sim;1;0;1;1;1;5;4;3;5;4;2;3;1;2;2;4;2;1;3;3;4;4;4
Espanha;Masculino;25;Estudante-trabalhador;Nao;1;0;0;0;1;5;5;3;4;2;3;4;4;4;3;4;5;2;5;5;1;3;3
Espanha;Feminino;24;Estudante a tempo inteiro;Nao;1;0;1;;1;3;5;4;4;2;3;4;1;3;2;2;5;1;2;2;3;2;2
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;1;0;1;1;1;4;5;2;4;3;2;5;4;3;2;4;1;1;3;1;5;2;4
Espanha;Feminino;19;Estudante-trabalhador;Nao;1;0;1;1;1;4;5;2;4;3;2;5;4;3;2;3;1;1;3;1;5;1;4
Espanha;Masculino;23;Estudante a tempo inteiro;Sim;1;1;0;1;1;4;3;3;4;4;3;3;4;4;3;4;2;3;3;2;4;2;4
Espanha;Masculino;20;Estudante a tempo inteiro;Nao;0;1;1;0;1;3;4;3;4;3;3;3;4;3;3;4;2;1;2;4;2;4;4
Espanha;Masculino;24;Estudante a tempo inteiro;Sim;0;0;1;0;1;4;2;3;4;4;2;4;3;3;2;4;2;1;3;3;4;2;4
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;1;0;0;0;1;3;5;2;3;3;2;3;4;3;1;3;3;3;3;3;3;3;3
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;0;0;1;3;4;2;3;3;4;5;2;2;2;3;4;2;2;2;4;4;3
Espanha;Masculino;22;Estudante a tempo inteiro;Nao;0;1;0;0;1;3;5;2;4;2;3;3;3;3;2;3;1;3;1;1;5;1;5
Espanha;Masculino;23;Estudante a tempo inteiro;Sim;1;0;0;1;0;3;4;3;4;5;3;4;1;5;3;4;3;4;5;4;3;3;5
Espanha;Masculino;19;Estudante a tempo inteiro;Sim;1;0;0;1;1;3;4;2;5;5;3;5;1;2;1;4;2;5;3;5;4;3;5
Espanha;Masculino;20;Estudante a tempo inteiro;Nao;0;1;0;0;1;3;4;2;4;2;2;3;4;2;2;3;3;3;2;4;1;4;4
Espanha;Masculino;20;Estudante a tempo inteiro;Sim;0;1;1;1;1;3;4;3;4;4;3;4;2;3;2;2;2;2;3;4;4;2;3
Espanha;Feminino;20;Estudante a tempo inteiro;Nao;0;1;0;0;1;3;3;2;4;3;3;4;2;3;3;1;2;2;3;2;3;2;4
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;0;1;0;0;1;4;3;2;3;3;3;4;2;3;3;2;3;1;3;2;4;2;4
Espanha;Masculino;23;Estudante a tempo inteiro;Nao;0;1;1;0;0;4;4;3;3;2;2;4;5;2;3;4;2;2;4;3;4;3;3
Espanha;Feminino;24;Estudante a tempo inteiro;Sim;1;0;0;0;0;3;4;2;3;3;2;4;4;3;3;2;4;1;3;3;3;2;3
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;1;0;3;5;1;5;5;5;5;2;5;3;3;1;1;1;1;4;5;1
Espanha;Masculino;22;Estudante a tempo inteiro;Nao;0;1;0;0;1;3;5;2;4;3;3;4;5;1;1;5;1;5;1;1;5;1;5
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;1;0;;1;3;5;3;4;3;3;4;3;3;2;2;3;2;4;3;1;2;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;1;0;0;1;4;4;2;3;2;2;4;4;3;3;2;4;1;3;2;3;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;0;;1;3;3;3;4;4;3;4;4;4;4;4;3;4;1;1;4;2;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;1;1;;1;3;3;4;4;3;3;4;4;2;1;3;3;2;4;3;2;2;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;1;0;1;0;3;5;2;4;4;4;4;5;2;1;2;2;2;3;2;4;4;3
Espanha;Feminino;22;Estudante a tempo inteiro;Sim;1;1;0;1;1;3;3;3;3;3;3;3;2;2;2;2;5;1;2;3;2;4;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;1;0;1;1;3;3;2;4;3;3;3;2;2;2;2;4;2;3;3;2;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;1;0;0;0;1;4;4;3;5;4;3;4;3;2;2;3;5;2;3;3;3;4;2
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;1;0;0;0;1;5;4;3;3;3;3;4;4;3;3;4;3;3;4;4;4;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;0;1;0;0;1;3;5;4;4;3;4;5;4;3;2;2;2;1;3;3;3;3;2
Espanha;Feminino;21;Estudante-trabalhador;Sim;0;1;0;1;1;4;5;4;3;2;3;5;4;3;3;2;1;1;4;3;2;5;2
Espanha;Feminino;23;Estudante-trabalhador;Sim;1;0;0;1;1;4;5;3;3;3;2;4;3;2;2;4;4;1;2;2;4;4;4
Espanha;Masculino;22;Estudante a tempo inteiro;Nao;1;0;0;0;1;4;4;2;3;2;2;3;1;1;1;2;5;1;5;5;2;4;1
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;1;1;4;4;5;3;1;3;2;4;2;1;3;4;2;5;5;4;3;4
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;1;0;1;1;4;5;2;4;2;3;4;3;3;2;1;5;1;2;3;4;4;3
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;0;0;1;0;0;4;2;3;4;2;2;4;2;2;2;1;2;1;2;2;1;4;2
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;0;0;1;;;4;3;3;5;3;3;4;2;4;2;4;3;3;4;2;2;4;4
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;1;0;1;0;1;4;5;2;5;3;2;4;1;1;1;3;3;1;5;3;3;1;3
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;1;1;0;1;3;4;2;3;2;2;3;2;2;2;1;5;1;4;3;2;4;2
Espanha;Feminino;20;Estudante a tempo inteiro;Sim;0;0;1;0;0;3;4;4;5;2;2;3;5;3;2;4;5;1;1;2;5;1;1
Espanha;Feminino;23;Estudante a tempo inteiro;Sim;0;0;0;1;;4;5;2;4;3;4;5;3;4;3;3;3;3;3;3;2;3;1
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;0;1;1;3;4;5;5;5;5;5;2;4;3;3;2;1;3;2;2;5;3
Espanha;Masculino;21;;Sim;1;0;0;;1;5;4;3;3;3;3;3;2;3;3;2;2;2;4;4;1;4;2
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;0;0;1;1;1;3;4;4;5;3;3;4;2;1;1;1;5;1;1;2;4;5;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;1;1;0;0;3;3;2;4;2;2;3;3;2;2;1;5;5;2;1;3;4;1
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;0;0;1;0;0;4;4;2;4;1;3;4;1;1;1;3;2;4;4;4;3;4;4
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;1;1;3;5;3;4;3;2;4;2;3;1;2;2;2;4;5;1;4;2
Espanha;Feminino;22;Estudante-trabalhador;Nao;1;0;0;1;1;4;4;3;4;4;4;3;2;3;1;2;5;2;5;2;3;5;1
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;0;1;3;4;3;4;4;3;4;3;4;3;2;3;2;3;3;2;3;2
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;0;0;0;5;4;3;4;2;2;3;1;1;2;4;2;2;5;3;3;1;5
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;0;1;0;4;4;2;4;3;4;4;2;3;3;4;4;2;2;4;4;4;4
Espanha;Masculino;21;Estudante a tempo inteiro;Nao;0;1;0;0;0;5;1;2;1;1;1;1;5;1;1;5;5;5;1;5;1;3;5
Espanha;Feminino;21;Estudante a tempo inteiro;Nao;0;1;0;1;1;5;5;4;5;3;3;3;4;2;1;2;1;1;1;1;2;2;2
Espanha;Feminino;21;;;0;0;0;1;1;3;3;4;3;3;3;3;3;3;3;2;3;2;2;2;4;5;1
Espanha;Masculino;21;Estudante a tempo inteiro;Nao;1;0;0;0;0;3;4;3;3;3;2;3;2;2;2;3;3;3;2;2;3;4;3
Espanha;Feminino;21;Estudante a tempo inteiro;Sim;1;0;1;;1;3;4;1;4;1;2;4;1;2;2;4;2;2;2;3;4;4;2
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;0;1;4;4;3;4;3;3;5;2;2;2;3;2;1;2;2;1;4;4
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;1;1;3;4;3;5;5;5;5;4;5;4;5;4;3;1;1;5;3;3
Espanha;Masculino;21;Estudante a tempo inteiro;Sim;1;0;0;1;1;4;3;;5;3;5;4;2;3;3;3;2;2;2;2;4;4;3
Espanha;Feminino;21;Estudante-trabalhador;Sim;1;0;0;1;1;4;5;3;5;2;2;5;4;2;3;3;4;3;2;2;4;4;2
Espanha;Feminino;22;Estudante a tempo inteiro;Nao;0;0;1;0;1;5;5;2;4;2;2;4;3;1;2;1;4;1;4;3;1;1;2
